Char,x,y,dis,time
0,"[ 4.  3.  1.  1.  0.  0.  0.  0.  4.  6. 13. 18. 29. 34. 48. 53. 64. 69.
 75. 76. 77. 77. 74. 72. 67. 63. 59. 54. 47. 42. 36. 32. 27. 21. 17.]","[ 0.  3.  5. 12. 18. 22. 34. 38. 49. 52. 60. 63. 68. 69. 69. 69. 67. 64.
 55. 52. 44. 40. 32. 27. 20. 17. 14. 13. 12. 12. 12. 12. 14. 17. 21.]","[ 0.          3.16227766  2.82842712  7.          6.08276253  4.
 12.          4.         11.70469991  3.60555128 10.63014581  5.83095189
 12.08304597  5.09901951 14.          5.         11.18033989  5.83095189
 10.81665383  3.16227766  8.06225775  4.          8.54400375  5.38516481
  8.60232527  5.          5.          5.09901951  7.07106781  5.
  6.          4.          5.38516481  6.70820393  5.65685425]","[ 0. 10.  7.  9.  8.  9.  7.  9.  7.  9.  7.  9.  7.  8.  9.  8.  8.  8.
  8.  7.  9.  7.  9.  7.  8.  8.  8.  8.  8.  8.  9.  7.  7.  9.  9.]"
0,"[22. 17. 15. 12.  9.  8.  7.  7.  7.  7. 10. 12. 15. 18. 24. 27. 33. 35.
 38. 38. 38. 38. 37. 33. 28. 22. 16. 10.  7.  3.  0.]","[ 6.  9. 12. 17. 21. 26. 29. 32. 36. 39. 42. 45. 46. 47. 47. 47. 43. 41.
 39. 36. 29. 25. 20. 14.  9.  6.  3.  1.  1.  0.  0.]","[105.47511555   5.83095189   3.60555128   5.83095189   5.
   5.09901951   3.16227766   3.           4.           3.
   4.24264069   3.60555128   3.16227766   3.16227766   6.
   3.           7.21110255   2.82842712   3.60555128   3.
   7.           4.           5.09901951   7.21110255   7.07106781
   6.70820393   6.70820393   6.32455532   3.           4.12310563
   3.        ]","[303.   9.  10.   9.   7.   8.   8.   9.   7.   9.   8.   7.   8.   8.
   9.   7.   8.   9.   8.   7.   8.   8.   8.   8.   9.   7.   8.   8.
   9.   7.   8.]"
0,"[41. 40. 40. 40. 40. 40. 40. 40. 42. 43. 46. 51. 53. 62. 70. 75. 78. 79.
 79. 78. 75. 67. 59. 49. 39. 31. 20. 13.  6.  2.  0.  0.]","[16. 19. 22. 28. 29. 34. 38. 42. 44. 45. 46. 47. 47. 44. 40. 35. 31. 26.
 22. 17. 14.  8.  3.  1.  0.  0.  0.  2.  5.  7. 10. 13.]","[108.04165863   3.16227766   3.           6.           1.
   5.           4.           4.           2.82842712   1.41421356
   3.16227766   5.09901951   2.           9.48683298   8.94427191
   7.07106781   5.           5.09901951   4.           5.09901951
   4.24264069  10.           9.43398113  10.19803903  10.04987562
   8.          11.           7.28010989   7.61577311   4.47213595
   3.60555128   3.        ]","[266.   8.   8.   8.   8.  10.   6.   9.  10.   8.   8.   9.   6.   8.
   8.   8.   8.   8.   8.   9.   7.   9.   7.   8.   7.   9.   7.   9.
   9.   6.   8.   9.]"
0,"[ 5.  4.  3.  2.  1.  0.  0.  0.  0.  1.  3.  7. 12. 18. 25. 32. 38. 44.
 47. 48. 48. 47. 46. 41. 33. 30. 25. 18. 15. 13. 10.]","[21. 22. 26. 28. 32. 36. 39. 43. 48. 49. 52. 54. 55. 55. 54. 49. 45. 37.
 32. 27. 20. 14. 11.  6.  2.  1.  0.  0.  0.  2.  4.]","[132.18547575   1.41421356   4.12310563   2.23606798   4.12310563
   4.12310563   3.           4.           5.           1.41421356
   3.60555128   4.47213595   5.09901951   6.           7.07106781
   8.60232527   7.21110255  10.           5.83095189   5.09901951
   7.           6.08276253   3.16227766   7.07106781   8.94427191
   3.16227766   5.09901951   7.           3.           2.82842712
   3.60555128]","[234.   7.   8.   8.   8.   8.   8.   9.   7.   9.   7.   8.   8.  10.
   6.  11.   7.   6.  10.   8.   8.   8.   8.   8.   8.   8.   8.   9.
   7.   8.   9.]"
0,"[10.  8.  7.  4.  4.  2.  2.  1.  1.  1.  1.  2.  5.  9. 11. 16. 23. 29.
 38. 45. 52. 54. 59. 63. 65. 66. 66. 66. 66. 65. 62. 60. 58. 54. 49. 45.
 40. 35. 30. 23. 18. 14. 11.  7.  5.  3.  3.  1.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  1.  3.  3.]","[24. 26. 29. 33. 35. 39. 42. 43. 47. 49. 50. 51. 53. 54. 55. 55. 55. 55.
 52. 49. 46. 45. 40. 36. 30. 27. 23. 20. 15. 13. 10.  8.  6.  3.  2.  1.
  0.  0.  0.  0.  1.  3.  4.  6.  8. 10. 12. 14. 18. 23. 24. 27. 30. 31.
 33. 35. 36. 37. 38. 39.]","[103.09704166   2.82842712   3.16227766   5.           2.
   4.47213595   3.           1.41421356   4.           2.
   1.           1.41421356   3.60555128   4.12310563   2.23606798
   5.           7.           6.           9.48683298   7.61577311
   7.61577311   2.23606798   7.07106781   5.65685425   6.32455532
   3.16227766   4.           3.           5.           2.23606798
   4.24264069   2.82842712   2.82842712   5.           5.09901951
   4.12310563   5.09901951   5.           5.           7.
   5.09901951   4.47213595   3.16227766   4.47213595   2.82842712
   2.82842712   2.           2.82842712   4.12310563   5.
   1.           3.           3.           1.           2.
   2.           1.41421356   1.           2.23606798   1.        ]","[385.   9.   8.   8.   8.   8.   8.   7.   8.  18.   9.   8.   8.   7.
   8.   8.   9.   7.   9.   8.   8.   6.   9.   9.   7.   9.   7.   9.
   7.   8.   8.   8.   9.   8.   7.   9.   7.   9.   7.   9.   7.  10.
   6.   8.  10.   6.  10.   9.   7.   8.   8.   9.   7.   8.   8.   8.
   8.   8.   8.   9.]"
0,"[ 4.  4.  4.  3.  3.  3.  3.  3.  3.  4.  7.  8. 10. 15. 17. 24. 26. 31.
 38. 40. 42. 47. 48. 52. 52. 54. 54. 54. 54. 53. 50. 48. 46. 45. 43. 42.
 41. 40. 38. 36. 33. 32. 28. 24. 20. 15. 11.  7.  4.  1.  1.  0.  0.  0.
  0.  0.  0.]","[22. 23. 24. 26. 28. 29. 32. 33. 35. 36. 39. 41. 42. 45. 46. 47. 47. 47.
 46. 44. 43. 39. 37. 32. 31. 26. 24. 20. 15. 12.  9.  5.  4.  2.  1.  0.
  0.  0.  0.  1.  1.  3.  5.  7.  9. 11. 11. 12. 13. 14. 15. 17. 19. 21.
 22. 24. 25.]","[124.1491039    1.           1.           2.23606798   2.
   1.           3.           1.           2.           1.41421356
   4.24264069   2.23606798   2.23606798   5.83095189   2.23606798
   7.07106781   2.           5.           7.07106781   2.82842712
   2.23606798   6.40312424   2.23606798   6.40312424   1.
   5.38516481   2.           4.           5.           3.16227766
   4.24264069   4.47213595   2.23606798   2.23606798   2.23606798
   1.41421356   1.           1.           2.           2.23606798
   3.           2.23606798   4.47213595   4.47213595   4.47213595
   5.38516481   4.           4.12310563   3.16227766   3.16227766
   1.           2.23606798   2.           2.           1.
   2.           1.        ]","[376.   9.   9.  16.   8.   7.   8.   9.   9.   7.   9.   9.   7.   8.
   8.   9.   7.   9.   8.   8.   8.   9.   7.   7.   8.   7.   9.   8.
   9.   7.   8.   8.   9.   7.   8.   9.   8.   7.   8.  17.   7.  11.
   7.   9.   7.   7.   9.   9.   8.   7.  56.   8.   8.   9.   7.   8.
  16.]"
0,"[ 0.  1.  2.  3.  4.  4.  6.  7.  8.  9. 12. 13. 16. 18. 23. 25. 31. 34.
 36. 42. 43. 46. 48. 49. 50. 50. 50. 50. 48. 47. 45. 43. 42. 37. 32. 27.
 25. 21. 18. 17. 15. 14. 13. 10. 10.  9.  9.  9.  9.  9.  9.  9.  9.  9.
  9.  9.]","[29. 31. 32. 33. 34. 36. 37. 39. 40. 42. 43. 44. 45. 45. 45. 45. 45. 43.
 42. 38. 37. 33. 30. 27. 24. 22. 19. 16. 14. 12. 10.  8.  7.  5.  3.  1.
  1.  0.  0.  0.  0.  0.  1.  3.  4.  6.  7. 10. 11. 14. 16. 19. 20. 22.
 23. 24.]","[80.30566605  2.23606798  1.41421356  1.41421356  1.41421356  2.
  2.23606798  2.23606798  1.41421356  2.23606798  3.16227766  1.41421356
  3.16227766  2.          5.          2.          6.          3.60555128
  2.23606798  7.21110255  1.41421356  5.          3.60555128  3.16227766
  3.16227766  2.          3.          3.          2.82842712  2.23606798
  2.82842712  2.82842712  1.41421356  5.38516481  5.38516481  5.38516481
  2.          4.12310563  3.          1.          2.          1.
  1.41421356  3.60555128  1.          2.23606798  1.          3.
  1.          3.          2.          3.          1.          2.
  1.          1.        ]","[436.   8.   8.   7.   8.   8.   8.   9.   7.   8.   8.   8.   8.   8.
   8.   8.   8.   9.   8.   7.   9.   7.   8.   9.   7.   8.   8.   8.
   7.   8.   8.  10.   6.  10.   9.   8.   7.   8.   9.   6.  10.   7.
   8.   8.   9.   7.   8.   8.   9.   8.   8.   8.   7.   9.  16.   8.]"
0,"[ 6.  6.  6.  6.  6.  7.  8.  9. 11. 15. 18. 24. 29. 37. 41. 49. 53. 59.
 62. 63. 63. 63. 62. 59. 57. 52. 46. 39. 31. 27. 19. 15.  9.  6.  3.  2.
  0.  0.  0.  0.  0.  0.  0.  0.  3.]","[19. 20. 23. 25. 28. 30. 32. 33. 36. 38. 40. 41. 41. 41. 41. 38. 35. 31.
 28. 26. 22. 18. 15. 11.  9.  5.  3.  1.  0.  0.  0.  0.  2.  4.  5.  7.
 10. 11. 12. 14. 16. 18. 20. 23. 27.]","[604.27311706   1.           3.           2.           3.
   2.23606798   2.23606798   1.41421356   3.60555128   4.47213595
   3.60555128   6.08276253   5.           8.           4.
   8.54400375   5.           7.21110255   4.24264069   2.23606798
   4.           4.           3.16227766   5.           2.82842712
   6.40312424   6.32455532   7.28010989   8.06225775   4.
   8.           4.           6.32455532   3.60555128   3.16227766
   2.23606798   3.60555128   1.           1.           2.
   2.           2.           2.           3.           5.        ]","[627.   9.  10.   8.   6.   9.   8.   9.   7.   8.   9.   8.   8.   7.
   8.   8.   8.   9.   7.   8.   8.   8.   8.   7.   9.   7.   8.   8.
   8.   8.   7.   8.  10.   8.   7.  11.   6.   8.  10.   5.  10.   9.
   7.   9.   8.]"
0,"[ 1.  0.  0.  0.  0.  0.  0.  1.  2.  3.  5.  8.  8. 11. 14. 18. 19. 25.
 29. 30. 32. 33. 33. 30. 27. 23. 18. 15. 10.  7.  6.  5.  3.  2.  1.  0.
  0.  0.  0.  0.]","[22. 23. 27. 29. 32. 34. 36. 40. 42. 43. 46. 46. 47. 47. 47. 47. 46. 43.
 38. 36. 30. 25. 17. 12.  9.  5.  2.  0.  0.  0.  0.  1.  2.  4.  7. 10.
 13. 15. 18. 19.]","[108.90362712   1.41421356   4.           2.           3.
   2.           2.           4.12310563   2.23606798   1.41421356
   3.60555128   3.           1.           3.           3.
   4.           1.41421356   6.70820393   6.40312424   2.23606798
   6.32455532   5.09901951   8.           5.83095189   4.24264069
   5.65685425   5.83095189   3.60555128   5.           3.
   1.           1.41421356   2.23606798   2.23606798   3.16227766
   3.16227766   3.           2.           3.           1.        ]","[257.   8.   8.   8.   9.   8.   8.   8.   7.   8.   8.   8.   9.   7.
   9.   8.   8.   8.   8.   8.   8.   8.   7.   9.   8.   7.   8.   8.
   8.   8.   7.   8.  11.   7.   7.   7.  11.   8.   7.  10.]"
0,"[16. 16. 16. 16. 16. 18. 21. 22. 26. 28. 32. 33. 41. 45. 49. 54. 58. 61.
 62. 63. 63. 60. 56. 51. 44. 36. 26. 21. 12.  8.  2.  1.  0.  0.  0.  0.
  0.]","[26. 27. 31. 35. 37. 41. 47. 49. 54. 56. 58. 59. 60. 60. 59. 56. 51. 48.
 42. 36. 30. 24. 18. 12.  6.  2.  0.  0.  0.  0.  3.  4.  6.  8. 11. 13.
 15.]","[81.15417426  1.          4.          4.          2.          4.47213595
  6.70820393  2.23606798  6.40312424  2.82842712  4.47213595  1.41421356
  8.06225775  4.          4.12310563  5.83095189  6.40312424  4.24264069
  6.08276253  6.08276253  6.          6.70820393  7.21110255  7.81024968
  9.21954446  8.94427191 10.19803903  5.          9.          4.
  6.70820393  1.41421356  2.23606798  2.          3.          2.
  2.        ]","[238.  11.   7.   8.   8.   9.   7.   8.   8.   8.   8.   8.   8.   7.
   9.   7.   8.   9.   7.   8.   8.   8.   9.   7.   8.   8.   9.   8.
   8.   7.   9.   7.   8.   9.   7.   7.  11.]"
